Settlement ID,Date,Ledger,Party,Amount,Commission,Fees,TCS
STL-00053,2026-04-23,HDFC Bank,Amazon Marketplace,71945.28,8869.53,2363.28,719.45
STL-00054,2026-09-10,HDFC Bank,JioMart,110824.84,10370.46,1225.17,1108.25
STL-00055,2026-08-21,HDFC Bank,Flipkart Seller,62519.01,5163.26,2379.09,625.19
STL-00056,2026-05-10,HDFC Bank,JioMart,27081.68,2399.98,1061.32,270.82
STL-00057,2026-11-16,HDFC Bank,JioMart,30727.32,3566.06,822.1,307.27
STL-00058,2026-05-30,HDFC Bank,Meesho,41348.43,3842.67,1114.03,413.48
STL-00059,2026-06-10,HDFC Bank,Flipkart Seller,69006.55,8634.49,2351.3,690.07
STL-00060,2026-09-15,HDFC Bank,Myntra,35074.2,4031.75,725.12,350.74
STL-00061,2026-04-30,HDFC Bank,Amazon Marketplace,110939.31,8185.26,3459.94,1109.39
STL-00062,2026-11-18,HDFC Bank,Flipkart Seller,64419.28,6004.2,1853.57,644.19
STL-00063,2026-07-05,HDFC Bank,Amazon Marketplace,11948.25,1423.55,303.32,119.48
STL-00064,2026-08-04,HDFC Bank,Flipkart Seller,20745.48,2368.75,314.32,207.45
STL-00065,2026-07-28,HDFC Bank,Myntra,64813.58,5708.15,1971.64,648.14
STL-00066,2026-09-13,HDFC Bank,Myntra,63007.73,6600.99,786.51,630.08
STL-00067,2026-09-17,HDFC Bank,JioMart,7748.67,907.84,163.14,77.49
STL-00068,2026-11-30,HDFC Bank,Meesho,22531.2,2613.58,500.59,225.31
STL-00069,2026-06-28,HDFC Bank,Amazon Marketplace,16544.75,1834.72,450.57,165.45
STL-00070,2026-06-30,HDFC Bank,JioMart,53981.69,6905.29,808.05,539.82
STL-00071,2026-04-06,HDFC Bank,Myntra,3242.66,237.99,107.26,32.43
STL-00072,2026-12-14,HDFC Bank,Amazon Marketplace,72523.41,9587.6,2490.02,725.23
STL-00073,2026-07-30,HDFC Bank,JioMart,111576.2,10515.75,3840.07,1115.76
STL-00074,2026-08-28,HDFC Bank,JioMart,117956.17,11661.55,3121.83,1179.56
STL-00075,2026-07-01,HDFC Bank,Amazon Marketplace,95999.57,6734.02,2843.14,960.0
STL-00076,2026-06-19,HDFC Bank,Myntra,38767.68,4343.03,1420.04,387.68
STL-00077,2026-12-16,HDFC Bank,JioMart,23483.62,2627.24,766.9,234.84
STL-00078,2026-08-02,HDFC Bank,Meesho,60336.42,8758.36,1065.69,603.36
STL-00079,2026-10-16,HDFC Bank,Amazon Marketplace,87121.72,8374.64,3369.83,871.22
STL-00080,2026-10-17,HDFC Bank,Flipkart Seller,119903.83,7179.46,4182.93,1199.04
STL-00081,2026-07-10,HDFC Bank,Amazon Marketplace,22296.88,3140.2,254.89,222.97
STL-00082,2026-11-26,HDFC Bank,Meesho,39777.86,5072.02,1102.6,397.78
STL-00083,2026-10-17,HDFC Bank,Amazon Marketplace,55791.5,6854.15,986.12,557.91
STL-00084,2026-04-14,HDFC Bank,Myntra,20795.91,3060.5,411.21,207.96
STL-00085,2026-10-02,HDFC Bank,Myntra,14776.09,1842.51,363.31,147.76
STL-00086,2026-06-17,HDFC Bank,JioMart,77542.26,7956.86,911.18,775.42
STL-00087,2026-08-12,HDFC Bank,Myntra,76473.41,4136.84,2540.97,764.73
STL-00088,2026-06-18,HDFC Bank,Myntra,97659.35,4985.37,2479.04,976.59
STL-00089,2026-08-13,HDFC Bank,Meesho,98567.29,8166.37,2478.05,985.67
STL-00090,2026-12-05,HDFC Bank,Myntra,15723.56,1536.48,519.48,157.24
STL-00091,2026-09-07,HDFC Bank,Meesho,14755.84,805.43,580.43,147.56
STL-00092,2026-07-02,HDFC Bank,Meesho,8089.45,928.87,91.27,80.89
STL-00093,2026-05-29,HDFC Bank,Flipkart Seller,5072.68,618.39,199.46,50.73
STL-00094,2026-10-23,HDFC Bank,Amazon Marketplace,106278.55,14416.39,3826.02,1062.79
STL-00095,2026-09-26,HDFC Bank,Myntra,97619.91,12650.9,3468.22,976.2
STL-00096,2026-04-07,HDFC Bank,Flipkart Seller,64684.63,5182.98,1400.87,646.85
STL-00097,2026-10-10,HDFC Bank,Amazon Marketplace,15525.4,2034.59,576.14,155.25
STL-00098,2026-06-10,HDFC Bank,Amazon Marketplace,6808.29,766.55,82.6,68.08
STL-00099,2026-12-15,HDFC Bank,Meesho,41867.97,6091.28,1478.93,418.68
STL-00100,2026-12-11,HDFC Bank,Amazon Marketplace,49846.38,5969.75,1886.66,498.46
STL-00101,2026-04-27,HDFC Bank,Myntra,13133.0,1401.11,352.28,131.33
STL-00102,2026-06-16,HDFC Bank,JioMart,64486.75,9560.84,920.55,644.87
STL-00103,2026-06-17,HDFC Bank,Flipkart Seller,8441.63,1035.69,237.31,84.42
STL-00104,2026-10-17,HDFC Bank,Meesho,90105.07,6773.48,1683.83,901.05
STL-00105,2026-07-15,HDFC Bank,Flipkart Seller,8388.93,588.13,307.43,83.89
STL-00106,2026-08-12,HDFC Bank,Myntra,43074.23,2688.68,658.3,430.74
STL-00107,2026-05-13,HDFC Bank,Flipkart Seller,7213.3,1054.66,232.77,72.13
STL-00108,2026-04-06,HDFC Bank,JioMart,73878.35,8253.46,1166.17,738.78
STL-00109,2026-12-11,HDFC Bank,Meesho,57274.49,5170.71,1103.25,572.74
STL-00110,2026-04-02,HDFC Bank,Amazon Marketplace,107162.93,6047.31,3724.54,1071.63
STL-00111,2026-04-29,HDFC Bank,JioMart,8404.98,923.42,184.97,84.05
STL-00112,2026-11-15,HDFC Bank,JioMart,111990.58,9254.21,3779.61,1119.91
STL-00113,2026-08-15,HDFC Bank,Amazon Marketplace,85133.52,5567.21,1366.61,851.34
STL-00114,2026-11-05,HDFC Bank,Flipkart Seller,9474.49,1198.39,292.91,94.74
STL-00115,2026-05-17,HDFC Bank,Meesho,34417.73,3145.12,644.94,344.18
STL-00116,2026-08-28,HDFC Bank,Flipkart Seller,75984.99,5179.93,1863.58,759.85
STL-00117,2026-06-12,HDFC Bank,Flipkart Seller,51137.22,5166.93,1208.41,511.37
STL-00118,2026-10-26,HDFC Bank,Flipkart Seller,33151.54,4511.4,1111.71,331.52
STL-00119,2026-11-18,HDFC Bank,Meesho,43303.21,5140.36,714.38,433.03
STL-00120,2026-04-29,HDFC Bank,Amazon Marketplace,46029.29,3020.52,1109.38,460.29
STL-00121,2026-10-18,HDFC Bank,JioMart,112105.45,6192.01,2281.89,1121.05
STL-00122,2026-05-01,HDFC Bank,Meesho,95466.68,9119.21,2073.38,954.67
STL-00123,2026-07-11,HDFC Bank,Meesho,92523.55,13010.7,3038.1,925.24
STL-00124,2026-08-23,HDFC Bank,Amazon Marketplace,74143.22,6519.81,1482.61,741.43
STL-00125,2026-05-13,HDFC Bank,JioMart,92873.47,4659.01,3138.29,928.73
STL-00126,2026-11-19,HDFC Bank,Meesho,73407.89,9563.5,748.43,734.08
STL-00127,2026-11-13,HDFC Bank,Myntra,30316.77,4138.78,569.0,303.17
STL-00128,2026-11-26,HDFC Bank,JioMart,108276.87,12138.61,2141.59,1082.77
STL-00129,2026-10-11,HDFC Bank,Amazon Marketplace,39403.65,2047.33,1127.84,394.04
STL-00130,2026-06-13,HDFC Bank,JioMart,69180.84,6061.58,1521.16,691.81
STL-00131,2026-10-14,HDFC Bank,Amazon Marketplace,46625.1,5163.71,484.69,466.25
STL-00132,2026-10-19,HDFC Bank,Myntra,69023.19,3888.36,1925.08,690.23
STL-00133,2026-11-05,HDFC Bank,JioMart,91598.24,8999.09,1346.21,915.98
STL-00134,2026-05-17,HDFC Bank,Amazon Marketplace,10499.92,884.94,165.11,105.0
STL-00135,2026-06-02,HDFC Bank,Flipkart Seller,7188.85,525.43,106.18,71.89
STL-00136,2026-12-08,HDFC Bank,Myntra,55967.29,4556.26,1427.58,559.67
STL-00137,2026-10-25,HDFC Bank,JioMart,66791.87,8663.87,1730.06,667.92
STL-00138,2026-07-31,HDFC Bank,Flipkart Seller,100427.59,12641.85,3896.41,1004.28
STL-00139,2026-08-29,HDFC Bank,Flipkart Seller,73138.73,3999.58,1083.12,731.39
STL-00140,2026-09-14,HDFC Bank,Meesho,39850.98,5956.1,522.25,398.51
STL-00141,2026-10-07,HDFC Bank,JioMart,7116.66,968.42,275.45,71.17
STL-00142,2026-11-07,HDFC Bank,Amazon Marketplace,67433.22,5451.17,1819.32,674.33
STL-00143,2026-04-25,HDFC Bank,Amazon Marketplace,84961.74,12457.89,1161.12,849.62
STL-00144,2026-11-20,HDFC Bank,Flipkart Seller,115749.63,12289.86,3525.53,1157.5
STL-00145,2026-08-29,HDFC Bank,Amazon Marketplace,38765.14,4269.35,943.33,387.65
STL-00146,2026-06-09,HDFC Bank,JioMart,4476.06,561.59,79.58,44.76
STL-00147,2026-05-06,HDFC Bank,Myntra,7475.92,894.56,176.84,74.76
STL-00148,2026-08-09,HDFC Bank,Myntra,72136.28,8129.02,1047.25,721.36
STL-00149,2026-07-21,HDFC Bank,JioMart,97423.81,9283.77,3405.95,974.24
STL-00150,2026-09-13,HDFC Bank,Meesho,33204.17,3404.78,645.21,332.04
STL-00151,2026-05-17,HDFC Bank,JioMart,44600.19,6269.32,585.65,446.0
STL-00152,2026-10-31,HDFC Bank,Meesho,39588.02,2984.03,767.97,395.88
STL-00153,2026-06-02,HDFC Bank,Myntra,68518.64,9038.04,1476.12,685.19
STL-00154,2026-07-15,HDFC Bank,Meesho,113371.35,13900.78,3889.6,1133.71
STL-00155,2026-12-03,HDFC Bank,Meesho,23048.31,1654.61,544.58,230.48
STL-00156,2026-07-07,HDFC Bank,Myntra,53554.34,6890.59,1598.08,535.54
STL-00157,2026-07-14,HDFC Bank,Myntra,99054.83,14016.1,3272.99,990.55
STL-00158,2026-08-14,HDFC Bank,Flipkart Seller,110269.29,7976.27,2470.19,1102.69
STL-00159,2026-06-23,HDFC Bank,JioMart,111952.51,10266.5,2375.08,1119.53
STL-00160,2026-05-31,HDFC Bank,Meesho,2944.18,213.39,63.5,29.44
STL-00161,2026-06-21,HDFC Bank,Meesho,61741.07,9056.93,1726.49,617.41
STL-00162,2026-09-15,HDFC Bank,JioMart,75170.7,6098.5,1201.63,751.71
STL-00163,2026-06-05,HDFC Bank,Flipkart Seller,113446.78,13492.99,2412.08,1134.47
STL-00164,2026-08-18,HDFC Bank,Myntra,57409.89,4060.49,2244.42,574.1
STL-00165,2026-04-24,HDFC Bank,Myntra,103112.62,11183.34,1739.08,1031.13
STL-00166,2026-07-02,HDFC Bank,Flipkart Seller,25652.86,1320.33,268.45,256.53
STL-00167,2026-09-15,HDFC Bank,Meesho,24102.67,3442.52,278.76,241.03
STL-00168,2026-06-20,HDFC Bank,Amazon Marketplace,48298.25,3590.11,851.4,482.98
STL-00169,2026-04-15,HDFC Bank,Myntra,114628.24,10576.04,1422.51,1146.28
STL-00170,2026-09-03,HDFC Bank,Flipkart Seller,75161.87,10088.72,2285.37,751.62
STL-00171,2026-04-18,HDFC Bank,JioMart,35312.09,1948.04,739.98,353.12
STL-00172,2026-10-02,HDFC Bank,Flipkart Seller,21637.61,3126.6,800.98,216.38
STL-00173,2026-10-27,HDFC Bank,Flipkart Seller,89534.24,9805.07,2948.6,895.34
STL-00174,2026-10-21,HDFC Bank,Amazon Marketplace,77719.48,9383.49,2185.66,777.19
STL-00175,2026-09-07,HDFC Bank,Flipkart Seller,10985.4,1314.32,218.31,109.85
STL-00176,2026-06-17,HDFC Bank,Myntra,113469.69,14910.21,1895.37,1134.7
STL-00177,2026-10-22,HDFC Bank,Flipkart Seller,90706.87,13101.65,3449.88,907.07
STL-00178,2026-11-02,HDFC Bank,JioMart,68619.1,8228.22,2574.19,686.19
STL-00179,2026-04-01,HDFC Bank,JioMart,62267.8,8942.33,1138.6,622.68
STL-00180,2026-04-17,HDFC Bank,Amazon Marketplace,39337.82,4877.49,1349.75,393.38
STL-00181,2026-06-15,HDFC Bank,Meesho,55440.68,3018.14,1238.93,554.41
STL-00182,2026-06-14,HDFC Bank,Meesho,89791.06,9633.35,2423.27,897.91
STL-00183,2026-11-11,HDFC Bank,JioMart,40757.01,2873.21,1185.16,407.57
STL-00184,2026-04-12,HDFC Bank,Flipkart Seller,48377.11,3334.11,1638.29,483.77
STL-00185,2026-10-29,HDFC Bank,Flipkart Seller,56758.59,7135.18,860.94,567.59
STL-00186,2026-10-24,HDFC Bank,Flipkart Seller,3849.85,531.76,105.68,38.5
STL-00187,2026-11-10,HDFC Bank,Amazon Marketplace,116315.34,13559.91,2754.43,1163.15
STL-00188,2026-09-05,HDFC Bank,Flipkart Seller,23046.61,2386.18,786.39,230.47
STL-00189,2026-06-07,HDFC Bank,JioMart,84458.04,5563.34,2883.7,844.58
STL-00190,2026-06-26,HDFC Bank,Amazon Marketplace,78001.92,7443.49,1685.65,780.02
STL-00191,2026-08-01,HDFC Bank,Meesho,23577.15,2462.81,915.7,235.77
STL-00192,2026-05-19,HDFC Bank,Amazon Marketplace,26560.87,1690.02,574.67,265.61
STL-00193,2026-12-22,HDFC Bank,Myntra,99544.73,11233.42,2754.38,995.45
STL-00194,2026-09-12,HDFC Bank,Flipkart Seller,43203.62,5431.01,1654.33,432.04
STL-00195,2026-04-08,HDFC Bank,Meesho,84986.0,8630.57,3164.45,849.86
STL-00196,2026-11-28,HDFC Bank,JioMart,54388.0,7569.02,586.02,543.88
STL-00197,2026-09-18,HDFC Bank,Amazon Marketplace,9174.41,799.36,262.54,91.74
STL-00198,2026-09-04,HDFC Bank,Myntra,37892.44,2849.28,943.56,378.92
STL-00199,2026-07-07,HDFC Bank,Myntra,113674.72,12045.67,3499.33,1136.75
STL-00200,2026-09-13,HDFC Bank,Flipkart Seller,118608.46,8987.82,3642.94,1186.08
STL-00201,2026-04-12,HDFC Bank,Meesho,61997.24,5472.83,1971.57,619.97
STL-00202,2026-09-12,HDFC Bank,Amazon Marketplace,33631.89,3465.46,614.5,336.32
STL-00203,2026-04-03,HDFC Bank,Myntra,35621.76,2324.67,597.3,356.22
STL-00204,2026-07-20,HDFC Bank,Meesho,117542.87,7454.62,4035.79,1175.43
STL-00205,2026-05-23,HDFC Bank,Myntra,20364.58,2938.18,328.35,203.65
STL-00206,2026-05-28,HDFC Bank,Flipkart Seller,105208.91,7842.21,1861.05,1052.09
STL-00207,2026-05-03,HDFC Bank,Amazon Marketplace,13184.39,1230.54,224.44,131.84
STL-00208,2026-07-24,HDFC Bank,Flipkart Seller,26901.39,1921.24,270.68,269.01
STL-00209,2026-12-18,HDFC Bank,Meesho,10843.17,1453.87,373.0,108.43
STL-00210,2026-09-05,HDFC Bank,Meesho,78872.32,4022.97,1023.46,788.72
STL-00211,2026-10-07,HDFC Bank,Amazon Marketplace,89279.2,6120.53,1557.33,892.79
STL-00212,2026-12-18,HDFC Bank,Myntra,115028.69,12598.6,4423.26,1150.29
STL-00213,2026-08-13,HDFC Bank,Meesho,16983.28,2024.02,371.33,169.83
STL-00214,2026-08-07,HDFC Bank,Myntra,29855.67,1819.71,659.49,298.56
STL-00215,2026-10-26,HDFC Bank,Meesho,71778.7,7810.46,2078.52,717.79
STL-00216,2026-08-15,HDFC Bank,Flipkart Seller,56891.73,8136.09,1147.16,568.92
STL-00217,2026-06-04,HDFC Bank,Meesho,104785.73,14663.69,2091.72,1047.86
STL-00218,2026-10-02,HDFC Bank,Amazon Marketplace,90751.72,6129.59,1244.34,907.52
STL-00219,2026-07-03,HDFC Bank,Flipkart Seller,8867.46,1090.0,228.8,88.67
STL-00220,2026-12-27,HDFC Bank,JioMart,60394.54,6465.63,658.74,603.95
STL-00221,2026-12-16,HDFC Bank,Meesho,88789.87,11129.1,2004.56,887.9
STL-00222,2026-09-21,HDFC Bank,JioMart,39991.39,2938.44,439.69,399.91
STL-00223,2026-11-04,HDFC Bank,JioMart,36153.61,3005.79,889.01,361.54
STL-00224,2026-05-29,HDFC Bank,Amazon Marketplace,35471.98,4099.71,710.4,354.72
STL-00225,2026-06-27,HDFC Bank,JioMart,18630.41,2375.1,336.09,186.3
STL-00226,2026-06-10,HDFC Bank,Meesho,116659.81,12636.13,1316.07,1166.6
STL-00227,2026-05-14,HDFC Bank,Meesho,105932.68,6666.25,1106.1,1059.33
STL-00228,2026-08-13,HDFC Bank,Myntra,73259.75,9345.57,2493.49,732.6
STL-00229,2026-07-03,HDFC Bank,Amazon Marketplace,41540.62,2099.47,419.88,415.41
STL-00230,2026-08-27,HDFC Bank,Meesho,75233.89,3879.93,2468.84,752.34
STL-00231,2026-08-29,HDFC Bank,JioMart,25340.59,3319.62,940.44,253.41
STL-00232,2026-07-27,HDFC Bank,Amazon Marketplace,35623.05,1884.39,967.01,356.23
STL-00233,2026-09-10,HDFC Bank,Flipkart Seller,43232.94,5262.37,1315.03,432.33
STL-00234,2026-07-21,HDFC Bank,Amazon Marketplace,100812.31,12550.69,2449.75,1008.12
STL-00235,2026-05-25,HDFC Bank,Myntra,30735.56,4344.1,799.22,307.36
STL-00236,2026-11-19,HDFC Bank,Amazon Marketplace,47267.86,6140.36,600.66,472.68
STL-00237,2026-06-15,HDFC Bank,Meesho,95805.24,7386.29,2672.87,958.05
STL-00238,2026-09-02,HDFC Bank,JioMart,45249.68,4272.7,1246.36,452.5
STL-00239,2026-08-03,HDFC Bank,Meesho,100539.75,11250.11,3380.58,1005.4
STL-00240,2026-10-20,HDFC Bank,JioMart,20611.55,1199.17,549.87,206.12
STL-00241,2026-09-07,HDFC Bank,Myntra,22119.45,2719.3,518.68,221.19
STL-00242,2026-08-12,HDFC Bank,JioMart,98892.33,10684.73,1884.58,988.92
STL-00243,2026-05-07,HDFC Bank,JioMart,113536.15,8936.16,3839.84,1135.36
STL-00244,2026-11-20,HDFC Bank,JioMart,90610.91,12943.71,1733.62,906.11
STL-00245,2026-06-13,HDFC Bank,JioMart,8565.57,672.78,287.72,85.66
STL-00246,2026-04-12,HDFC Bank,Flipkart Seller,76647.79,4230.81,2565.15,766.48
STL-00247,2026-08-04,HDFC Bank,Amazon Marketplace,79084.91,5171.23,2983.04,790.85
STL-00248,2026-12-17,HDFC Bank,Flipkart Seller,35893.74,3901.47,1030.01,358.94
STL-00249,2026-07-29,HDFC Bank,JioMart,5730.24,553.21,165.52,57.3
STL-00250,2026-12-14,HDFC Bank,Amazon Marketplace,6096.72,576.5,124.44,60.97
STL-00251,2026-11-07,HDFC Bank,Amazon Marketplace,92011.28,7194.67,3420.26,920.11
STL-00252,2026-08-06,HDFC Bank,JioMart,33222.86,4652.8,773.37,332.23
STL-00253,2026-04-09,HDFC Bank,Myntra,95072.22,13132.51,2472.03,950.72
STL-00254,2026-06-09,HDFC Bank,Flipkart Seller,79398.47,8351.65,1792.01,793.98
STL-00255,2026-12-17,HDFC Bank,JioMart,68850.97,7970.86,2734.98,688.51
STL-00256,2026-04-30,HDFC Bank,Amazon Marketplace,61811.79,6541.11,1126.99,618.12
STL-00257,2026-05-20,HDFC Bank,Flipkart Seller,72112.0,5671.41,2195.73,721.12
STL-00258,2026-11-04,HDFC Bank,Flipkart Seller,3965.94,582.41,85.09,39.66
STL-00259,2026-04-05,HDFC Bank,Myntra,59050.92,6028.01,1903.13,590.51
STL-00260,2026-09-20,HDFC Bank,Flipkart Seller,27483.23,1705.52,1031.04,274.83
STL-00261,2026-12-27,HDFC Bank,JioMart,109083.19,14370.04,4042.87,1090.83
STL-00262,2026-09-17,HDFC Bank,Myntra,118248.36,10249.68,2206.14,1182.48
STL-00263,2026-09-30,HDFC Bank,JioMart,116456.24,5826.88,3242.64,1164.56
STL-00264,2026-04-11,HDFC Bank,Flipkart Seller,9574.29,728.68,187.42,95.74
STL-00265,2026-07-06,HDFC Bank,JioMart,8875.71,468.98,147.88,88.76
STL-00266,2026-09-25,HDFC Bank,JioMart,67821.46,5815.46,1494.39,678.21
STL-00267,2026-05-31,HDFC Bank,Meesho,118116.35,13586.29,1280.69,1181.16
STL-00268,2026-12-17,HDFC Bank,Flipkart Seller,100644.12,7053.52,2037.14,1006.44
STL-00269,2026-06-15,HDFC Bank,Flipkart Seller,103021.9,6018.08,1729.77,1030.22
STL-00270,2026-12-03,HDFC Bank,JioMart,85374.91,4798.32,934.44,853.75
STL-00271,2026-08-19,HDFC Bank,Amazon Marketplace,45361.4,5781.68,856.35,453.61
STL-00272,2026-07-11,HDFC Bank,Myntra,115124.6,12128.99,3448.44,1151.25
STL-00273,2026-10-08,HDFC Bank,Flipkart Seller,105358.44,7457.48,3775.26,1053.58
STL-00274,2026-10-08,HDFC Bank,Meesho,7452.34,863.1,126.82,74.52
STL-00275,2026-07-12,HDFC Bank,Myntra,16371.06,1462.5,482.89,163.71
STL-00276,2026-04-12,HDFC Bank,JioMart,60981.24,7377.49,952.08,609.81
STL-00277,2026-05-26,HDFC Bank,Amazon Marketplace,13107.86,672.03,274.8,131.08
STL-00278,2026-08-12,HDFC Bank,Amazon Marketplace,89077.46,6483.91,2241.89,890.77
STL-00279,2026-04-08,HDFC Bank,Flipkart Seller,83451.6,4685.32,1663.91,834.52
STL-00280,2026-12-03,HDFC Bank,JioMart,65780.6,6691.54,1365.86,657.81
STL-00281,2026-08-24,HDFC Bank,Meesho,14668.23,1311.74,207.48,146.68
STL-00282,2026-11-11,HDFC Bank,Meesho,16559.32,1007.1,259.57,165.59
STL-00283,2026-04-23,HDFC Bank,Meesho,24607.19,3206.19,653.27,246.07
STL-00284,2026-08-23,HDFC Bank,JioMart,53940.9,4446.94,2046.6,539.41
STL-00285,2026-04-15,HDFC Bank,JioMart,108736.16,11864.65,2045.09,1087.36
STL-00286,2026-11-16,HDFC Bank,Amazon Marketplace,57048.33,3355.64,774.61,570.48
STL-00287,2026-05-24,HDFC Bank,Myntra,29705.29,3312.67,911.61,297.05
STL-00288,2026-07-18,HDFC Bank,Meesho,97554.01,8981.57,1183.25,975.54
STL-00289,2026-10-07,HDFC Bank,Meesho,52871.92,5156.85,647.78,528.72
STL-00290,2026-04-16,HDFC Bank,Flipkart Seller,37928.18,3125.87,667.25,379.28
STL-00291,2026-04-20,HDFC Bank,JioMart,102383.95,10630.7,1876.92,1023.84
STL-00292,2026-04-09,HDFC Bank,Meesho,72410.35,9502.33,1603.82,724.1
STL-00293,2026-06-10,HDFC Bank,Myntra,60221.84,7407.04,2255.23,602.22
STL-00294,2026-07-13,HDFC Bank,Meesho,6393.93,887.66,219.15,63.94
STL-00295,2026-05-22,HDFC Bank,Flipkart Seller,8139.03,997.5,224.34,81.39
STL-00296,2026-05-15,HDFC Bank,Amazon Marketplace,86328.64,6621.67,2402.75,863.29
STL-00297,2026-10-13,HDFC Bank,JioMart,36165.98,3366.7,538.92,361.66
STL-00298,2026-06-29,HDFC Bank,Amazon Marketplace,94962.17,6193.67,3592.08,949.62
STL-00299,2026-08-09,HDFC Bank,Amazon Marketplace,92846.78,10439.67,3461.34,928.47
