Item Name,Base Units,Under,HSN Code,GST Rate,Opening Qty,Opening Rate
Steel Water Bottle - Variant 049,Pack,Finished Goods,73239390,18,461,1748.78
Leather Wallet - Variant 050,Nos,Finished Goods,42021190,18,352,2828.98
Face Wash - Variant 051,Pcs,Finished Goods,34013090,18,299,2668.28
Extension Board - Variant 052,Set,Finished Goods,85366990,18,127,1388.59
Bedsheet Double - Variant 053,Pcs,Finished Goods,63041930,12,212,1318.46
Hand Sanitizer - Variant 054,Pack,Finished Goods,38089400,18,202,2393.69
Bedsheet Double - Variant 055,Nos,Finished Goods,63041930,12,197,932.63
Hand Sanitizer - Variant 056,Nos,Finished Goods,38089400,18,392,2062.58
Bedsheet Double - Variant 057,Box,Finished Goods,63041930,12,433,138.85
Basmati Rice 5kg - Variant 058,Pcs,Finished Goods,10063020,5,85,210.48
Cotton T-Shirt - Variant 059,Pcs,Finished Goods,61091000,5,220,306.22
Bedsheet Double - Variant 060,Pcs,Finished Goods,63041930,12,341,1061.82
Ceramic Mug - Variant 061,Box,Finished Goods,69120010,12,395,1132.78
Denim Jeans - Variant 062,Pack,Finished Goods,62034200,12,158,1968.2
Ball Pen - Variant 063,Pcs,Finished Goods,96081019,18,446,1312.35
Almonds 500g - Variant 064,Set,Finished Goods,08021200,12,227,1719.09
Turmeric Powder - Variant 065,Box,Finished Goods,09103020,5,103,2381.99
LED Bulb 9W - Variant 066,Box,Finished Goods,85395000,12,409,2794.18
Hand Sanitizer - Variant 067,Kg,Finished Goods,38089400,18,130,1224.53
Ceramic Mug - Variant 068,Nos,Finished Goods,69120010,12,459,313.35
Turmeric Powder - Variant 069,Pack,Finished Goods,09103020,5,224,2209.13
Hand Sanitizer - Variant 070,Pack,Finished Goods,38089400,18,339,173.85
Extension Board - Variant 071,Nos,Finished Goods,85366990,18,17,1813.63
Almonds 500g - Variant 072,Pack,Finished Goods,08021200,12,65,439.07
Almonds 500g - Variant 073,Box,Finished Goods,08021200,12,109,1091.27
Denim Jeans - Variant 074,Set,Finished Goods,62034200,12,408,2310.16
Basmati Rice 5kg - Variant 075,Pcs,Finished Goods,10063020,5,488,1680.42
Ball Pen - Variant 076,Nos,Finished Goods,96081019,18,6,2085.57
LED Bulb 9W - Variant 077,Set,Finished Goods,85395000,12,357,1735.57
Bedsheet Double - Variant 078,Nos,Finished Goods,63041930,12,479,1788.71
Wall Clock - Variant 079,Pcs,Finished Goods,91051900,18,212,2449.08
Notebook A5 - Variant 080,Pcs,Finished Goods,48201010,12,371,1654.31
Turmeric Powder - Variant 081,Kg,Finished Goods,09103020,5,13,1050.85
Almonds 500g - Variant 082,Box,Finished Goods,08021200,12,45,832.91
Wall Clock - Variant 083,Nos,Finished Goods,91051900,18,91,2214.61
Leather Wallet - Variant 084,Kg,Finished Goods,42021190,18,395,29.62
Almonds 500g - Variant 085,Pcs,Finished Goods,08021200,12,1,196.49
Basmati Rice 5kg - Variant 086,Nos,Finished Goods,10063020,5,313,824.17
Steel Water Bottle - Variant 087,Box,Finished Goods,73239390,18,406,2722.64
LED Bulb 9W - Variant 088,Pack,Finished Goods,85395000,12,239,2508.53
Almonds 500g - Variant 089,Pack,Finished Goods,08021200,12,47,2854.1
Steel Water Bottle - Variant 090,Nos,Finished Goods,73239390,18,384,304.83
Bedsheet Double - Variant 091,Nos,Finished Goods,63041930,12,173,511.87
USB Cable - Variant 092,Kg,Finished Goods,85444299,18,336,113.89
Bedsheet Double - Variant 093,Nos,Finished Goods,63041930,12,200,2726.94
Yoga Mat - Variant 094,Box,Finished Goods,39181090,18,110,344.46
Basmati Rice 5kg - Variant 095,Pack,Finished Goods,10063020,5,360,2478.6
Bedsheet Double - Variant 096,Kg,Finished Goods,63041930,12,448,653.15
Yoga Mat - Variant 097,Box,Finished Goods,39181090,18,103,2498.95
Wall Clock - Variant 098,Kg,Finished Goods,91051900,18,378,29.8
Steel Water Bottle - Variant 099,Pack,Finished Goods,73239390,18,205,125.07
Bluetooth Speaker - Variant 100,Set,Finished Goods,85182200,18,105,2553.41
Leather Wallet - Variant 101,Box,Finished Goods,42021190,18,196,1543.38
Notebook A5 - Variant 102,Box,Finished Goods,48201010,12,448,949.68
Leather Wallet - Variant 103,Nos,Finished Goods,42021190,18,99,1685.47
Basmati Rice 5kg - Variant 104,Set,Finished Goods,10063020,5,5,2070.15
Denim Jeans - Variant 105,Set,Finished Goods,62034200,12,225,2462.46
Face Wash - Variant 106,Pack,Finished Goods,34013090,18,141,2900.64
Ball Pen - Variant 107,Box,Finished Goods,96081019,18,413,1321.57
USB Cable - Variant 108,Set,Finished Goods,85444299,18,128,114.81
LED Bulb 9W - Variant 109,Box,Finished Goods,85395000,12,488,1465.01
USB Cable - Variant 110,Kg,Finished Goods,85444299,18,473,1883.57
Almonds 500g - Variant 111,Kg,Finished Goods,08021200,12,405,435.14
Ceramic Mug - Variant 112,Pcs,Finished Goods,69120010,12,73,1849.61
Wall Clock - Variant 113,Kg,Finished Goods,91051900,18,290,2038.93
Turmeric Powder - Variant 114,Kg,Finished Goods,09103020,5,417,1321.08
Yoga Mat - Variant 115,Kg,Finished Goods,39181090,18,86,2472.69
Leather Wallet - Variant 116,Kg,Finished Goods,42021190,18,21,1218.82
Face Wash - Variant 117,Nos,Finished Goods,34013090,18,109,405.0
Almonds 500g - Variant 118,Pcs,Finished Goods,08021200,12,453,2563.63
Denim Jeans - Variant 119,Kg,Finished Goods,62034200,12,54,434.01
Face Wash - Variant 120,Nos,Finished Goods,34013090,18,468,2530.54
Wall Clock - Variant 121,Box,Finished Goods,91051900,18,112,1330.74
Ceramic Mug - Variant 122,Nos,Finished Goods,69120010,12,233,2308.36
Steel Water Bottle - Variant 123,Box,Finished Goods,73239390,18,112,2826.3
LED Bulb 9W - Variant 124,Set,Finished Goods,85395000,12,330,2208.41
Cotton T-Shirt - Variant 125,Box,Finished Goods,61091000,5,181,2628.61
Ball Pen - Variant 126,Box,Finished Goods,96081019,18,321,2264.02
Face Wash - Variant 127,Set,Finished Goods,34013090,18,150,2073.97
Turmeric Powder - Variant 128,Box,Finished Goods,09103020,5,81,2536.03
Hand Sanitizer - Variant 129,Kg,Finished Goods,38089400,18,70,1130.68
Bedsheet Double - Variant 130,Nos,Finished Goods,63041930,12,195,752.79
Ceramic Mug - Variant 131,Set,Finished Goods,69120010,12,409,458.2
Hand Sanitizer - Variant 132,Pack,Finished Goods,38089400,18,255,2987.82
Hand Sanitizer - Variant 133,Nos,Finished Goods,38089400,18,111,2694.95
Face Wash - Variant 134,Pack,Finished Goods,34013090,18,234,1628.7
Bluetooth Speaker - Variant 135,Pcs,Finished Goods,85182200,18,188,34.52
Leather Wallet - Variant 136,Pack,Finished Goods,42021190,18,464,1424.55
Ceramic Mug - Variant 137,Pack,Finished Goods,69120010,12,289,628.93
Face Wash - Variant 138,Kg,Finished Goods,34013090,18,277,2970.76
USB Cable - Variant 139,Pack,Finished Goods,85444299,18,216,1043.22
Wall Clock - Variant 140,Nos,Finished Goods,91051900,18,102,2348.97
LED Bulb 9W - Variant 141,Pcs,Finished Goods,85395000,12,128,2200.8
Steel Water Bottle - Variant 142,Pcs,Finished Goods,73239390,18,280,2140.15
Steel Water Bottle - Variant 143,Pcs,Finished Goods,73239390,18,14,1242.0
Turmeric Powder - Variant 144,Set,Finished Goods,09103020,5,252,2491.47
Extension Board - Variant 145,Pcs,Finished Goods,85366990,18,105,2754.26
Leather Wallet - Variant 146,Kg,Finished Goods,42021190,18,403,207.51
Basmati Rice 5kg - Variant 147,Pcs,Finished Goods,10063020,5,458,1323.17
Ball Pen - Variant 148,Box,Finished Goods,96081019,18,190,443.36
USB Cable - Variant 149,Nos,Finished Goods,85444299,18,419,396.31
Bluetooth Speaker - Variant 150,Set,Finished Goods,85182200,18,255,836.9
Notebook A5 - Variant 151,Kg,Finished Goods,48201010,12,96,2199.86
Wall Clock - Variant 152,Box,Finished Goods,91051900,18,178,2158.83
Bedsheet Double - Variant 153,Kg,Finished Goods,63041930,12,175,2748.87
Ceramic Mug - Variant 154,Pack,Finished Goods,69120010,12,173,2729.53
Hand Sanitizer - Variant 155,Nos,Finished Goods,38089400,18,478,1878.19
Yoga Mat - Variant 156,Box,Finished Goods,39181090,18,259,2894.13
Basmati Rice 5kg - Variant 157,Nos,Finished Goods,10063020,5,78,1482.7
Almonds 500g - Variant 158,Pack,Finished Goods,08021200,12,0,1638.57
Yoga Mat - Variant 159,Kg,Finished Goods,39181090,18,400,1529.49
Denim Jeans - Variant 160,Nos,Finished Goods,62034200,12,177,2553.79
Cotton T-Shirt - Variant 161,Box,Finished Goods,61091000,5,181,1283.0
Face Wash - Variant 162,Set,Finished Goods,34013090,18,394,1549.18
Green Tea - Variant 163,Pcs,Finished Goods,09102090,18,392,2879.57
Hand Sanitizer - Variant 164,Kg,Finished Goods,38089400,18,346,886.05
Steel Water Bottle - Variant 165,Kg,Finished Goods,73239390,18,459,1478.56
USB Cable - Variant 166,Nos,Finished Goods,85444299,18,62,161.44
Bluetooth Speaker - Variant 167,Nos,Finished Goods,85182200,18,120,2940.7
Bedsheet Double - Variant 168,Kg,Finished Goods,63041930,12,378,1794.57
Green Tea - Variant 169,Pcs,Finished Goods,09102090,18,471,2545.95
USB Cable - Variant 170,Box,Finished Goods,85444299,18,401,1286.24
Hand Sanitizer - Variant 171,Nos,Finished Goods,38089400,18,217,828.2
USB Cable - Variant 172,Nos,Finished Goods,85444299,18,372,239.57
Bedsheet Double - Variant 173,Box,Finished Goods,63041930,12,61,539.71
Denim Jeans - Variant 174,Pcs,Finished Goods,62034200,12,175,1687.43
Green Tea - Variant 175,Kg,Finished Goods,09102090,18,161,1718.2
Steel Water Bottle - Variant 176,Pack,Finished Goods,73239390,18,40,1978.76
Extension Board - Variant 177,Nos,Finished Goods,85366990,18,86,863.06
Denim Jeans - Variant 178,Box,Finished Goods,62034200,12,376,1420.28
Wall Clock - Variant 179,Pcs,Finished Goods,91051900,18,290,2033.66
Turmeric Powder - Variant 180,Set,Finished Goods,09103020,5,131,2999.5
Bedsheet Double - Variant 181,Set,Finished Goods,63041930,12,425,2627.62
Notebook A5 - Variant 182,Kg,Finished Goods,48201010,12,136,594.7
Ball Pen - Variant 183,Pack,Finished Goods,96081019,18,335,731.71
Wall Clock - Variant 184,Nos,Finished Goods,91051900,18,229,2822.69
Yoga Mat - Variant 185,Nos,Finished Goods,39181090,18,212,1280.76
Cotton T-Shirt - Variant 186,Set,Finished Goods,61091000,5,108,73.66
Green Tea - Variant 187,Set,Finished Goods,09102090,18,178,2764.48
Cotton T-Shirt - Variant 188,Pcs,Finished Goods,61091000,5,15,218.41
Notebook A5 - Variant 189,Pack,Finished Goods,48201010,12,431,526.9
Ball Pen - Variant 190,Kg,Finished Goods,96081019,18,489,2235.32
Notebook A5 - Variant 191,Pack,Finished Goods,48201010,12,52,512.22
LED Bulb 9W - Variant 192,Kg,Finished Goods,85395000,12,275,981.46
Turmeric Powder - Variant 193,Kg,Finished Goods,09103020,5,71,2354.97
Yoga Mat - Variant 194,Set,Finished Goods,39181090,18,268,2376.91
Bluetooth Speaker - Variant 195,Kg,Finished Goods,85182200,18,450,2374.18
Notebook A5 - Variant 196,Pcs,Finished Goods,48201010,12,454,1333.04
Basmati Rice 5kg - Variant 197,Pcs,Finished Goods,10063020,5,436,1959.11
Steel Water Bottle - Variant 198,Set,Finished Goods,73239390,18,182,2088.92
Bedsheet Double - Variant 199,Nos,Finished Goods,63041930,12,473,2008.6
Ceramic Mug - Variant 200,Kg,Finished Goods,69120010,12,279,1337.81
Ceramic Mug - Variant 201,Pcs,Finished Goods,69120010,12,265,2625.52
Turmeric Powder - Variant 202,Kg,Finished Goods,09103020,5,181,1492.68
Basmati Rice 5kg - Variant 203,Nos,Finished Goods,10063020,5,4,447.57
Almonds 500g - Variant 204,Box,Finished Goods,08021200,12,324,966.64
Denim Jeans - Variant 205,Pack,Finished Goods,62034200,12,67,371.56
LED Bulb 9W - Variant 206,Set,Finished Goods,85395000,12,27,723.77
USB Cable - Variant 207,Nos,Finished Goods,85444299,18,57,76.45
Green Tea - Variant 208,Pcs,Finished Goods,09102090,18,295,478.02
Cotton T-Shirt - Variant 209,Nos,Finished Goods,61091000,5,134,1332.08
Bedsheet Double - Variant 210,Set,Finished Goods,63041930,12,5,339.85
Bluetooth Speaker - Variant 211,Box,Finished Goods,85182200,18,304,2357.7
Bedsheet Double - Variant 212,Set,Finished Goods,63041930,12,443,194.26
Almonds 500g - Variant 213,Box,Finished Goods,08021200,12,484,1562.45
Leather Wallet - Variant 214,Box,Finished Goods,42021190,18,473,2738.91
Notebook A5 - Variant 215,Nos,Finished Goods,48201010,12,324,1442.36
Notebook A5 - Variant 216,Kg,Finished Goods,48201010,12,111,1420.72
LED Bulb 9W - Variant 217,Box,Finished Goods,85395000,12,215,1276.9
Leather Wallet - Variant 218,Pack,Finished Goods,42021190,18,144,2861.85
Steel Water Bottle - Variant 219,Box,Finished Goods,73239390,18,397,1280.35
Cotton T-Shirt - Variant 220,Kg,Finished Goods,61091000,5,382,894.89
Cotton T-Shirt - Variant 221,Kg,Finished Goods,61091000,5,199,1943.6
LED Bulb 9W - Variant 222,Box,Finished Goods,85395000,12,280,800.17
Basmati Rice 5kg - Variant 223,Kg,Finished Goods,10063020,5,152,327.89
Bedsheet Double - Variant 224,Pcs,Finished Goods,63041930,12,80,1710.35
Yoga Mat - Variant 225,Box,Finished Goods,39181090,18,255,2901.81
USB Cable - Variant 226,Box,Finished Goods,85444299,18,67,1988.48
Ceramic Mug - Variant 227,Set,Finished Goods,69120010,12,23,1601.18
Cotton T-Shirt - Variant 228,Nos,Finished Goods,61091000,5,199,1753.59
Cotton T-Shirt - Variant 229,Box,Finished Goods,61091000,5,64,210.03
Bedsheet Double - Variant 230,Box,Finished Goods,63041930,12,345,215.56
Notebook A5 - Variant 231,Nos,Finished Goods,48201010,12,161,774.61
Wall Clock - Variant 232,Pack,Finished Goods,91051900,18,146,634.24
Bedsheet Double - Variant 233,Pcs,Finished Goods,63041930,12,172,716.04
Steel Water Bottle - Variant 234,Nos,Finished Goods,73239390,18,223,2405.11
Cotton T-Shirt - Variant 235,Pcs,Finished Goods,61091000,5,342,777.24
Wall Clock - Variant 236,Pcs,Finished Goods,91051900,18,153,1800.02
LED Bulb 9W - Variant 237,Pcs,Finished Goods,85395000,12,229,1363.7
Basmati Rice 5kg - Variant 238,Nos,Finished Goods,10063020,5,206,191.72
Almonds 500g - Variant 239,Box,Finished Goods,08021200,12,23,283.31
Denim Jeans - Variant 240,Pcs,Finished Goods,62034200,12,496,2974.35
Green Tea - Variant 241,Kg,Finished Goods,09102090,18,14,2357.71
USB Cable - Variant 242,Pack,Finished Goods,85444299,18,374,459.27
Wall Clock - Variant 243,Set,Finished Goods,91051900,18,322,980.47
Wall Clock - Variant 244,Nos,Finished Goods,91051900,18,314,1985.26
Bedsheet Double - Variant 245,Pcs,Finished Goods,63041930,12,316,1739.04
Bedsheet Double - Variant 246,Pcs,Finished Goods,63041930,12,376,1920.69
Extension Board - Variant 247,Pcs,Finished Goods,85366990,18,293,1085.06
Almonds 500g - Variant 248,Pcs,Finished Goods,08021200,12,128,778.69
Face Wash - Variant 249,Nos,Finished Goods,34013090,18,63,2376.48
Steel Water Bottle - Variant 250,Kg,Finished Goods,73239390,18,254,197.96
Notebook A5 - Variant 251,Box,Finished Goods,48201010,12,141,984.63
USB Cable - Variant 252,Pack,Finished Goods,85444299,18,68,2573.89
Yoga Mat - Variant 253,Pcs,Finished Goods,39181090,18,164,579.55
Almonds 500g - Variant 254,Set,Finished Goods,08021200,12,36,320.63
Wall Clock - Variant 255,Box,Finished Goods,91051900,18,442,1499.58
Green Tea - Variant 256,Nos,Finished Goods,09102090,18,278,421.95
Ball Pen - Variant 257,Box,Finished Goods,96081019,18,350,1793.93
Yoga Mat - Variant 258,Set,Finished Goods,39181090,18,193,1892.82
Turmeric Powder - Variant 259,Pack,Finished Goods,09103020,5,64,479.26
Denim Jeans - Variant 260,Nos,Finished Goods,62034200,12,328,222.22
Almonds 500g - Variant 261,Set,Finished Goods,08021200,12,18,1785.02
Ceramic Mug - Variant 262,Box,Finished Goods,69120010,12,126,2698.38
Wall Clock - Variant 263,Kg,Finished Goods,91051900,18,317,2032.62
Steel Water Bottle - Variant 264,Box,Finished Goods,73239390,18,283,2441.83
Almonds 500g - Variant 265,Pcs,Finished Goods,08021200,12,383,197.41
Denim Jeans - Variant 266,Kg,Finished Goods,62034200,12,407,1060.47
Face Wash - Variant 267,Kg,Finished Goods,34013090,18,382,2009.32
Bluetooth Speaker - Variant 268,Nos,Finished Goods,85182200,18,312,1264.88
Notebook A5 - Variant 269,Pcs,Finished Goods,48201010,12,375,949.42
Extension Board - Variant 270,Pack,Finished Goods,85366990,18,349,1881.21
Leather Wallet - Variant 271,Nos,Finished Goods,42021190,18,284,2630.59
Denim Jeans - Variant 272,Nos,Finished Goods,62034200,12,322,1285.01
Basmati Rice 5kg - Variant 273,Pack,Finished Goods,10063020,5,234,2647.24
Ceramic Mug - Variant 274,Nos,Finished Goods,69120010,12,404,2920.28
Turmeric Powder - Variant 275,Box,Finished Goods,09103020,5,93,313.61
LED Bulb 9W - Variant 276,Nos,Finished Goods,85395000,12,266,2809.09
Bedsheet Double - Variant 277,Nos,Finished Goods,63041930,12,385,851.99
LED Bulb 9W - Variant 278,Pcs,Finished Goods,85395000,12,11,2682.58
Face Wash - Variant 279,Kg,Finished Goods,34013090,18,377,2775.09
USB Cable - Variant 280,Pcs,Finished Goods,85444299,18,244,271.56
Notebook A5 - Variant 281,Nos,Finished Goods,48201010,12,118,233.82
Green Tea - Variant 282,Set,Finished Goods,09102090,18,237,1497.81
LED Bulb 9W - Variant 283,Nos,Finished Goods,85395000,12,406,1525.74
Notebook A5 - Variant 284,Box,Finished Goods,48201010,12,321,505.83
Ceramic Mug - Variant 285,Set,Finished Goods,69120010,12,469,745.1
Turmeric Powder - Variant 286,Set,Finished Goods,09103020,5,104,1838.33
Almonds 500g - Variant 287,Kg,Finished Goods,08021200,12,486,497.95
Basmati Rice 5kg - Variant 288,Kg,Finished Goods,10063020,5,196,784.64
Ball Pen - Variant 289,Pack,Finished Goods,96081019,18,139,2541.41
Ceramic Mug - Variant 290,Kg,Finished Goods,69120010,12,93,510.96
Cotton T-Shirt - Variant 291,Pack,Finished Goods,61091000,5,67,1466.08
Basmati Rice 5kg - Variant 292,Set,Finished Goods,10063020,5,277,758.08
Bluetooth Speaker - Variant 293,Kg,Finished Goods,85182200,18,63,2991.27
USB Cable - Variant 294,Kg,Finished Goods,85444299,18,32,962.92
Cotton T-Shirt - Variant 295,Pack,Finished Goods,61091000,5,474,53.38
Wall Clock - Variant 296,Set,Finished Goods,91051900,18,221,2728.81
Bluetooth Speaker - Variant 297,Box,Finished Goods,85182200,18,172,1168.15
Extension Board - Variant 298,Set,Finished Goods,85366990,18,98,1459.61
Ceramic Mug - Variant 299,Pcs,Finished Goods,69120010,12,332,2803.73
Extension Board - Variant 300,Box,Finished Goods,85366990,18,18,2916.4
Hand Sanitizer - Variant 301,Pcs,Finished Goods,38089400,18,166,1251.16
Hand Sanitizer - Variant 302,Kg,Finished Goods,38089400,18,16,1651.74
Bluetooth Speaker - Variant 303,Kg,Finished Goods,85182200,18,382,471.66
Ball Pen - Variant 304,Nos,Finished Goods,96081019,18,102,2448.76
Ball Pen - Variant 305,Set,Finished Goods,96081019,18,400,2632.82
Cotton T-Shirt - Variant 306,Kg,Finished Goods,61091000,5,151,2964.83
Ceramic Mug - Variant 307,Kg,Finished Goods,69120010,12,265,423.17
Face Wash - Variant 308,Pcs,Finished Goods,34013090,18,76,2491.75
Extension Board - Variant 309,Set,Finished Goods,85366990,18,419,2420.66
Steel Water Bottle - Variant 310,Set,Finished Goods,73239390,18,368,1384.06
Steel Water Bottle - Variant 311,Nos,Finished Goods,73239390,18,169,2637.98
Bedsheet Double - Variant 312,Pcs,Finished Goods,63041930,12,134,655.16
Turmeric Powder - Variant 313,Box,Finished Goods,09103020,5,189,1486.4
Denim Jeans - Variant 314,Kg,Finished Goods,62034200,12,26,2186.34
Leather Wallet - Variant 315,Box,Finished Goods,42021190,18,132,455.71
Yoga Mat - Variant 316,Set,Finished Goods,39181090,18,89,2612.26
Turmeric Powder - Variant 317,Pcs,Finished Goods,09103020,5,64,1790.71
Basmati Rice 5kg - Variant 318,Kg,Finished Goods,10063020,5,138,1481.39
Ceramic Mug - Variant 319,Pack,Finished Goods,69120010,12,367,2847.23
Wall Clock - Variant 320,Set,Finished Goods,91051900,18,390,2003.88
Bedsheet Double - Variant 321,Nos,Finished Goods,63041930,12,278,1293.99
Almonds 500g - Variant 322,Box,Finished Goods,08021200,12,389,100.13
Yoga Mat - Variant 323,Pcs,Finished Goods,39181090,18,424,2435.66
Notebook A5 - Variant 324,Set,Finished Goods,48201010,12,409,2413.82
Notebook A5 - Variant 325,Set,Finished Goods,48201010,12,408,2356.83
Extension Board - Variant 326,Nos,Finished Goods,85366990,18,46,1069.97
Ceramic Mug - Variant 327,Box,Finished Goods,69120010,12,259,726.72
Denim Jeans - Variant 328,Kg,Finished Goods,62034200,12,358,515.62
Denim Jeans - Variant 329,Pcs,Finished Goods,62034200,12,411,199.36
Bluetooth Speaker - Variant 330,Set,Finished Goods,85182200,18,99,142.26
Yoga Mat - Variant 331,Pcs,Finished Goods,39181090,18,495,2123.62
LED Bulb 9W - Variant 332,Set,Finished Goods,85395000,12,413,474.85
USB Cable - Variant 333,Kg,Finished Goods,85444299,18,385,2853.24
Bedsheet Double - Variant 334,Pack,Finished Goods,63041930,12,323,2652.67
Bedsheet Double - Variant 335,Kg,Finished Goods,63041930,12,179,1266.71
Turmeric Powder - Variant 336,Pcs,Finished Goods,09103020,5,275,674.96
Ceramic Mug - Variant 337,Box,Finished Goods,69120010,12,273,668.43
Turmeric Powder - Variant 338,Pack,Finished Goods,09103020,5,338,616.0
Notebook A5 - Variant 339,Set,Finished Goods,48201010,12,66,265.15
Notebook A5 - Variant 340,Box,Finished Goods,48201010,12,81,1900.81
Turmeric Powder - Variant 341,Box,Finished Goods,09103020,5,36,1625.44
Basmati Rice 5kg - Variant 342,Pcs,Finished Goods,10063020,5,373,2044.86
Steel Water Bottle - Variant 343,Kg,Finished Goods,73239390,18,497,112.91
Bedsheet Double - Variant 344,Nos,Finished Goods,63041930,12,450,998.21
Bedsheet Double - Variant 345,Pack,Finished Goods,63041930,12,292,2809.91
Extension Board - Variant 346,Pack,Finished Goods,85366990,18,243,1624.78
Hand Sanitizer - Variant 347,Kg,Finished Goods,38089400,18,274,2620.97
Bluetooth Speaker - Variant 348,Kg,Finished Goods,85182200,18,299,2619.37
Leather Wallet - Variant 349,Set,Finished Goods,42021190,18,325,1953.6
LED Bulb 9W - Variant 350,Kg,Finished Goods,85395000,12,219,1736.51
Basmati Rice 5kg - Variant 351,Nos,Finished Goods,10063020,5,147,2002.63
Ceramic Mug - Variant 352,Set,Finished Goods,69120010,12,329,1223.94
Extension Board - Variant 353,Box,Finished Goods,85366990,18,115,2197.74
Cotton T-Shirt - Variant 354,Kg,Finished Goods,61091000,5,167,983.89
Basmati Rice 5kg - Variant 355,Nos,Finished Goods,10063020,5,455,788.86
Notebook A5 - Variant 356,Pcs,Finished Goods,48201010,12,403,2974.77
USB Cable - Variant 357,Pcs,Finished Goods,85444299,18,389,2727.79
Yoga Mat - Variant 358,Box,Finished Goods,39181090,18,469,1842.51
Notebook A5 - Variant 359,Nos,Finished Goods,48201010,12,69,320.49
Notebook A5 - Variant 360,Pcs,Finished Goods,48201010,12,25,1450.24
Green Tea - Variant 361,Kg,Finished Goods,09102090,18,404,1932.21
Green Tea - Variant 362,Box,Finished Goods,09102090,18,5,1495.68
Face Wash - Variant 363,Pcs,Finished Goods,34013090,18,178,337.8
Basmati Rice 5kg - Variant 364,Kg,Finished Goods,10063020,5,45,1687.68
Wall Clock - Variant 365,Box,Finished Goods,91051900,18,11,1819.79
